0 [-6.931472e-01, 1.386294e+00, 6.931472e-01, -2.231435e-01, 0.000000e+00, -5.108256e-01, -6.931472e-01, -1.321756e+00, -1.241713e+00]
1000 [-8.117468e-01, 1.540250e+00, 8.215761e-01, -8.951588e-02, 1.599076e-01, -4.451312e-01, -6.488872e-01, -1.260275e+00, -9.151860e-01]
2000 [-8.804027e-01, 1.658268e+00, 9.302105e-01, -1.201594e-02, 2.949809e-01, -3.803925e-01, -3.426585e-01, -1.274999e+00, -8.189066e-01]
3000 [-9.054903e-01, 1.711131e+00, 9.818208e-01, -1.796308e-02, 3.295362e-01, -3.155217e-01, -2.354101e-01, -1.291286e+00, -7.678918e-01]
4000 [-9.040136e-01, 1.727944e+00, 9.992533e-01, -8.738552e-02, 3.516439e-01, -2.543597e-01, -2.190844e-01, -1.285476e+00, -7.359958e-01]
5000 [-8.912652e-01, 1.731720e+00, 1.003676e+00, -1.779758e-01, 3.701242e-01, -1.952269e-01, -2.080124e-01, -1.257948e+00, -7.173880e-01]
6000 [-8.749694e-01, 1.732953e+00, 1.006330e+00, -2.637673e-01, 3.866104e-01, -1.465969e-01, -1.964580e-01, -1.218203e+00, -7.072753e-01]
7000 [-8.575152e-01, 1.732205e+00, 1.007712e+00, -3.336145e-01, 3.980954e-01, -1.130246e-01, -1.857934e-01, -1.174406e+00, -6.993417e-01]
8000 [-8.374521e-01, 1.731709e+00, 1.010212e+00, -3.878753e-01, 4.059493e-01, -9.056464e-02, -1.767077e-01, -1.131827e+00, -6.881150e-01]
9000 [-8.151580e-01, 1.731414e+00, 1.013893e+00, -4.341199e-01, 4.109321e-01, -7.441293e-02, -1.683732e-01, -1.089405e+00, -6.725524e-01]
10000 [-7.901241e-01, 1.731469e+00, 1.019099e+00, -4.763928e-01, 4.152379e-01, -6.177508e-02, -1.610265e-01, -1.048128e+00, -6.441106e-01]
11000 [-7.636523e-01, 1.732133e+00, 1.025892e+00, -5.102327e-01, 4.186434e-01, -5.285878e-02, -1.560338e-01, -1.011912e+00, -6.126994e-01]
12000 [-7.363998e-01, 1.733331e+00, 1.033969e+00, -5.354499e-01, 4.209059e-01, -4.742115e-02, -1.529965e-01, -9.832934e-01, -5.834954e-01]
13000 [-7.097390e-01, 1.734993e+00, 1.042884e+00, -5.540544e-01, 4.225079e-01, -4.380188e-02, -1.507334e-01, -9.616962e-01, -5.568501e-01]
14000 [-6.834523e-01, 1.737105e+00, 1.052407e+00, -5.673178e-01, 4.236826e-01, -4.075651e-02, -1.496947e-01, -9.455612e-01, -5.321281e-01]
15000 [-6.581444e-01, 1.739266e+00, 1.061987e+00, -5.770940e-01, 4.236467e-01, -3.969541e-02, -1.497560e-01, -9.318229e-01, -5.092573e-01]
15000 [-6.581444e-01, 1.739266e+00, 1.061987e+00, -5.770940e-01, 4.236467e-01, -3.969541e-02, -1.497560e-01, -9.318229e-01, -5.092573e-01]
18000 [-1.127657e-01, 1.786343e+00, 1.385881e+00, -5.718348e-01, 4.015423e-01, -7.276577e-02, -1.603184e-01, -8.349160e-01, -2.511144e-01]
